Card-set,,Rarity,Card_name,Other names,Card type,Attribute,Types,Level,ATK / DEF,Rank,,,,,
Maximum Crisis ,,Super Rare,Supreme King Gate Infinity,,Monster,DARK,Fiend / Pendulum / Effect,7,0 / 0,,,,,,
Crossroads of Chaos,,Rare,Turbo Synchron,,Monster,WIND,Machine / Tuner / Effect,1,100 / 500,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Pot of Greed,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Shell Knight,,Monster,EARTH,Rock / Effect,4,0 / 2000,,,,,,
Phantom Rage,,Common,Myutant Expansion,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Flame Manipulator,,Monster,FIRE,Spellcaster / Normal,3,900 / 1000,,,,,,
Storm of Ragnarok,,Super Rare,Svartalf of the Nordic Alfar,,Monster,DARK,Spellcaster / Tuner / Effect,5,1400 / 1600,,,,,,
Labyrinth of Nightmare,,Common,Garuda the Wind Spirit,,Monster,WIND,Winged Beast / Effect,4,1600 / 1200,,,,,,
Legend of Blue Eyes White Dragon,,Common,Root Water,,Monster,WATER,Fish,3,900 / 800,,,,,,
Phantom Darkness,,Common,Gemini Lancer,,Monster,WATER,Sea Serpent / Gemini,4,1800 / 1400,,,,,,
Raging Tempest,,Super Rare,"Tierra, Source of Destruction",,Monster,LIGHT,Fiend / Effect,11,3400 / 3600,,,,,,
Labyrinth of Nightmare,,Common,Cyclon Laser,,Spell,,,,,,,,,,
Raging Battle,,Common,Gigastone Omega,,Monster,EARTH,Rock / Effect,5,1000 / 2300,,,,,,
Secrets of Eternity,,Common,Re-qliate,,Trap,,,,,,,,,,
Shining Victories,,Ultra Rare,The White Stone of Ancients,,Monster,LIGHT,Dragon / Tuner / Effect,1,600 / 500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Despian Comedy,,Monster,DARK,Fairy / Effect,1,0 / 2000,,,,,,
Savage Strike,,Rare,Speedburst Dragon,,Monster,DARK,Dragon / Effect,6,2400 / 600,,,,,,
Crossroads of Chaos,,Common,DNA Checkup,,Trap,,,,,,,,,,
Shining Victories,,Common,Gendo the Ascetic Monk,,Monster,WATER,Spellcaster / Effect,4,300 / 1800,,,,,,
Duelist Revolution,,Common,Scrap Rage,,Trap,,,,,,,,,,
Strike of Neos,,Common,Shien's Castle of Mist,,Spell,,,,,,,,,,
Starstrike Blast,,Common,Barkion's Bark,,Spell,,,,,,,,,,
Galactic Overlord,,Secret Rare,Hieratic Sun Dragon Overlord of Heliopolis,,Monster,LIGHT,Dragon / Xyz / Effect,,3000 / 2400,8,,,,,
Ancient Prophecy,,Ultra Rare,Ancient Fairy Dragon,,Monster,LIGHT,Dragon / Synchro / Effect,7,2100 / 3000,,,,,,
Absolute Powerforce,,Common,Machine King - 3000 B.C.,,Trap,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Doomking Balerdroch,,Monster,DARK,Zombie / Effect,8,2800 / 2000,,,,,,
Metal Raiders,,Common,Ocubeam,,Monster,LIGHT,Fairy,5,1550 / 1650,,,,,,
Ancient Prophecy,,Common,Emergency Assistance,,Spell,,,,,,,,,,
The Duelist Genesis,,Ultra Rare,Dark Hunter,,Monster,DARK,Fiend / Effect,4,1600 / 400,,,,,,
Rise of the Duelist,,Common,"Dogmatika Theo, the Iron Punch",,Monster,LIGHT,Spellcaster / Effect,4,1800 / 1500,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Altergeist Failover,,Trap,,,,,,,,,,
Gladiator's Assault,,Super Rare,Defensive Tactics,,Trap,,,,,,,,,,
Crossed Souls,,Common,Performapal Bowhopper,,Monster,EARTH,Insect / Effect,4,1500 / 1000,,,,,,
The Shining Darkness,,Super Rare,XX-Saber Boggart Knight,,Monster,EARTH,Beast-Warrior / Effect,4,1900 / 1000,,,,,,
Extreme Force,,Short Print,Oops!,,Trap,,,,,,,,,,
Shadow Specters,,Ultra Rare,"Celestial Wolf Lord, Blue Sirius",Wolf Lord Blue Sirius,Monster,DARK,Beast-Warrior / Synchro / Effect,6,2400 / 1500,,,,,,
Ignition Assault,,Secret Rare,Plunder Patrollship Moerk,,Monster,DARK,Fiend / Xyz / Effect,,1000 / 2500,4,,,,,
Soul Fusion,,Common,Dinowrestler Capoeiraptor,,Monster,EARTH,Dinosaur / Effect,4,1800 / 0,,,,,,
Cosmo Blazer,,Secret Rare,Bonfire Colossus,,Monster,FIRE,Beast-Warrior / Effect,8,2600 / 2200,,,,,,
Shadow Specters,,Common,Survival of the Fittest,,Trap,,,,,,,,,,
Galactic Overlord,,Rare,Lightray Sorcerer,,Monster,LIGHT,Spellcaster / Effect,6,2300 / 2000,,,,,,
Chaos Impact,,Super Rare,Dream Mirror Hypnagogia,,Trap,,,,,,,,,,
Ancient Sanctuary,,Super Rare,Zaborg the Thunder Monarch,,Monster,LIGHT,Thunder / Effect,5,2400 / 1000,,,,,,
Primal Origin,,Common,Shogi Knight,,Monster,EARTH,Beast-Warrior / Effect,3,800 / 400,,,,,,
Cybernetic Revolution,,Rare,Magical Explosion,,Trap,,,,,,,,,,
Clash of Rebellions,,Secret Rare,Mistaken Arrest,,Spell,,,,,,,,,,
Starstrike Blast,,Common,"Karakuri Strategist mdl 248 ""Nishipachi""",,Monster,EARTH,Machine / Tuner,3,500 / 1600,,,,,,
Flaming Eternity,,Common,Rescue Cat,,Monster,EARTH,Beast / Effect,4,300 / 100,,,,,,
Light of Destruction,,Common,Demise of the Land,,Spell,,,,,,,,,,
Soul Fusion,,Common,"World Legacy - ""World Wand""",,Monster,DARK,Machine / Effect,8,500 / 2500,,,,,,
Battle of Chaos,,Common,"Neiroy, the Dream Mirror Traitor",,Monster,DARK,Fiend / Effect,3,1000 / 1000,,,,,,
Clash of Rebellions,,Ultra Rare,Archfiend Black Skull Dragon,,Monster,DARK,Dragon / Fusion / Effect,9,3200 / 2500,,,,,,
Labyrinth of Nightmare,,Short Print,Fairy Box,,Trap,,,,,,,,,,
Light of Destruction,,Common,Mystical Cards of Light,,Spell,,,,,,,,,,
Invasion of Chaos,,Common,Hyper Hammerhead,,Monster,EARTH,Dinosaur / Effect,4,1500 / 1200,,,,,,
Starstrike Blast,,Common,Ally of Justice Unknown Crusher,,Monster,DARK,Machine / Effect,3,1200 / 800,,,,,,
Crossroads of Chaos,,Ultra Rare,"Tytannial, Princess of Camellias",,Monster,WIND,Plant / Effect,8,2800 / 2600,,,,,,
Spell Ruler,,Common,Dark Witch,,Monster,LIGHT,Fairy,5,1800 / 1700,,,,,,
Judgment of the Light,,Common,Super Defense Robot Lio,,Monster,EARTH,Machine / Effect,4,1200 / 1600,,,,,,
Invasion of Chaos,,Ultra Rare,Guardian Angel Joan,,Monster,LIGHT,Fairy / Effect,7,2800 / 2000,,,,,,
Ancient Sanctuary,,Rare,Thousand Energy,,Spell,,,,,,,,,,
Strike of Neos,,Ultra Rare,"Reign-Beaux, Overlord of Dark World",,Monster,DARK,Fiend / Effect,7,2500 / 1800,,,,,,
Invasion: Vengeance,,Common,Flower Cardian Maple with Deer,,Monster,DARK,Warrior / Effect,10,1000 / 1000,,,,,,
Gladiator's Assault,,Common,Contact Out,,Spell,,,,,,,,,,
Ancient Prophecy,,Super Rare,Core Compression,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Destruction Swordsman Fusion,,Spell,,,,,,,,,,
Primal Origin,,Ultra Rare,Sylvan Charity,,Spell,,,,,,,,,,
Lightning Overdrive,,Common,D/D/D Supersight King Zero Maxwell,,Monster,DARK,Fiend / Pendulum / Effect,7,2800 / 2500,,,,,,
Duelist Alliance,,Common,Fishborg Doctor,,Monster,WATER,Fish / Effect,4,400 / 400,,,,,,
Labyrinth of Nightmare,,Short Print,Tornado Wall,,Trap,,,,,,,,,,
Eternity Code,,Common,Gouki The Powerload Ogre,,Monster,EARTH,Warrior / Link / Effect,,,,,,,,
Secrets of Eternity,,Rare,Dragon Dowser,,Monster,EARTH,Wyrm / Effect,4,1500 / 1500,,,,,,
Metal Raiders,,Common,Deepsea Shark,,Monster,WATER,Fish / Fusion,5,1900 / 1600,,,,,,
Lord of the Tachyon Galaxy,,Secret Rare,Brotherhood of the Fire Fist - Cardinal,,Monster,FIRE,Beast-Warrior / Xyz / Effect,,1800 / 2200,4,,,,,
Savage Strike,,Ultra Rare,Trickstar Divaridis,,Monster,LIGHT,Fairy / Link / Effect,,,,,,,,
Breakers of Shadow,,Rare,Pendulum Reborn,,Trap,,,,,,,,,,
Rising Rampage,,Common,Yosenju Oroshi Channeling,,Spell,,,,,,,,,,
Pharaonic Guardian,,Rare,Winged Sage Falcos,,Monster,WIND,Winged Beast / Effect,4,1700 / 1200,,,,,,
Abyss Rising,,Rare,Mermail Abysspike,,Monster,WATER,Fish / Effect,4,1600 / 800,,,,,,
Raging Battle,,Rare,Emperor Sem,,Monster,LIGHT,Fiend / Effect,4,1300 / 2200,,,,,,
Tactical Evolution,,Rare,Double Summon,,Spell,,,,,,,,,,
Labyrinth of Nightmare,,Common,Deal of Phantom,,Trap,,,,,,,,,,
Maximum Gold,,Premium Gold Rare,Nurse Dragonmaid,,Monster,EARTH,Dragon / Effect,2,500 / 1600,,,,,,
Absolute Powerforce,,Super Rare,Synchro Control,,Spell,,,,,,,,,,
Elemental Energy,,Common,"Scarr, Scout of Dark World",,Monster,DARK,Fiend / Effect,2,500 / 500,,,,,,
Ignition Assault,,Secret Rare,Sales Pitch,,Trap,,,,,,,,,,
Stardust Overdrive,,Secret Rare,Dark Simorgh,,Monster,DARK,Winged Beast / Effect,7,2700 / 1000,,,,,,
Raging Battle,,Super Rare,Koa'ki Meiru Powerhand,,Monster,EARTH,Machine / Effect,4,2100 / 1600,,,,,,
The Dark Illusion,,Rare,Triamid Kingolem,,Spell,,,,,,,,,,
Tactical Evolution,,Secret Rare,Abyssal Kingshark,,Monster,WATER,Fish / Effect,4,1700 / 600,,,,,,
Clash of Rebellions,,Common,Superheavy Samurai Blowtorch,,Monster,EARTH,Machine / Effect,1,500 / 300,,,,,,
The Shining Darkness,,Rare,Revival Rose,,Monster,DARK,Plant / Effect,4,1300 / 1300,,,,,,
Blazing Vortex,,Common,Springans Captain Sargas,,Monster,FIRE,Machine / Effect,8,1500 / 2800,,,,,,
Primal Origin,,Ultra Rare,Bujin Hirume,,Monster,LIGHT,Beast-Warrior / Effect,4,2000 / 1000,,,,,,
Pharaonic Guardian,,Ultra Rare,Mystical Knight of Jackal,,Monster,LIGHT,Beast-Warrior / Effect,7,2700 / 1200,,,,,,
Gladiator's Assault,,Common,No Entry!!,,Trap,,,,,,,,,,
Clash of Rebellions,,Rare,Igknight Burst,,Trap,,,,,,,,,,
Maximum Crisis ,,Super Rare,"Metaltron XII, the True Dracombatant",,Monster,LIGHT,Wyrm / Effect,9,3000 / 3000,,,,,,
Legend of Blue Eyes White Dragon,,Common,Wasteland,,Spell,,,,,,,,,,
Blazing Vortex,,Super Rare,Materiactor Gigadra,,Monster,DARK,Dragon / Effect,3,1000 / 1000,,,,,,
Blazing Vortex,,Super Rare,S-Force Orrafist,,Monster,LIGHT,Cyberse / Effect,4,1800 / 1000,,,,,,
Extreme Victory,,Rare,Salvage Warrior,,Monster,WATER,Warrior / Effect,5,1900 / 1600,,,,,,
Crimson Crisis,,Rare,Star Blast,,Spell,,,,,,,,,,
Burst of Destiny,,Super Rare,Reptilianne Ramifications,,Spell,,,,,,,,,,
Metal Raiders,,Rare,Magician of Faith,,Monster,LIGHT,Spellcaster / Flip / Effect,1,300 / 400,,,,,,
Shadow of Infinity,,Rare,Proto-Cyber Dragon,,Monster,LIGHT,Machine / Effect,3,1100 / 600,,,,,,
Metal Raiders,,Rare,Princess of Tsurugi,Princess of Tsurogai,Monster,WIND,Warrior / Effect,3,900 / 700,,,,,,
Crimson Crisis,,Common,Morphtronic Slingen,,Monster,WIND,Machine / Effect,4,1200 / 800,,,,,,
Breakers of Shadow,,Secret Rare,Cyber Dragon Infinity,,Monster,LIGHT,Machine / Xyz / Effect,,2100 / 1600,6,,,,,
Circuit Break,,Super Rare,Number 41: Bagooska the Terribly Tired Tapir,,Monster,EARTH,Fiend / Xyz / Effect,,2100 / 2000,4,,,,,
Judgment of the Light,,Common,Mecha Phantom Beast Coltwing,,Monster,WIND,Machine / Effect,4,1600 / 1500,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Aqua Madoor,,Monster,WATER,Spellcaster / Normal,4,1200 / 2000,,,,,,
The New Challengers,,Super Rare,1st Movement Solo,,Spell,,,,,,,,,,
Circuit Break,,Common,Krawler Receptor,,Monster,EARTH,Insect / Flip / Effect,2,900 / 1200,,,,,,
Burst of Destiny,,Common,Swordsoul Blackout,,Trap,,,,,,,,,,
Pharaonic Guardian,,Common,Yomi Ship,,Monster,WATER,Aqua / Effect,3,800 / 1400,,,,,,
Galactic Overlord,,Common,Moonlit Papillon,,Monster,LIGHT,Insect / Effect,4,1200 / 1600,,,,,,
Judgment of the Light,,Common,Junk Blader,,Monster,EARTH,Warrior / Effect,4,1800 / 1000,,,,,,
Ignition Assault,,Rare,Plunder Patroll Booty,,Trap,,,,,,,,,,
The New Challengers,,Super Rare,Edge Imp Sabres,,Monster,DARK,Fiend / Effect,3,1200 / 800,,,,,,
Blazing Vortex,,Super Rare,"Oneiros, the Dream Mirror Tormentor",,Monster,DARK,Fiend / Fusion / Effect,10,3000 / 3000,,,,,,
Maximum Gold,,Rare,Preparation of Rites,,Spell,,,,,,,,,,
Rising Rampage,,Common,Barricadeborg Blocker,,Monster,DARK,Machine / Link / Effect,,,,,,,,
Phantom Rage,,Common,Virtual World Gate - Qinglong,,Spell,,,,,,,,,,
Ancient Prophecy,,Ultra Rare,Gaia Plate the Earth Giant,,Monster,EARTH,Rock / Effect,8,2800 / 1000,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,Code Exporter,,Monster,WIND,Cyberse / Effect,5,500 / 2300,,,,,,
Cosmo Blazer,,Common,Jurrac Impact,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Rare,Two-Pronged Attack,,Trap,,,,,,,,,,
Cosmo Blazer,,Ultra Rare,Number 53: Heart-eartH,,Monster,DARK,Fiend / Xyz / Effect,,100 / 100,5,,,,,
The New Challengers,,Ultra Rare,"Jiaotu, Darkness of the Yang Zing",,Monster,DARK,Wyrm / Tuner / Effect,2,0 / 2000,,,,,,
Gladiator's Assault,,Common,Gladiator Beast Secutor,,Monster,WIND,Reptile / Effect,4,400 / 300,,,,,,
Raging Tempest,,Rare,Shiranui Sunsaga,,Monster,FIRE,Zombie / Synchro / Effect,10,3500 / 0,,,,,,
Legend of Blue Eyes White Dragon,,Common,Dark King of the Abyss,,Monster,DARK,Fiend,3,1200 / 800,,,,,,
Cosmo Blazer,,Common,Mermail Abyssnose,,Monster,WATER,Fish / Effect,4,1500 / 1500,,,,,,
Legacy of the Valiant,,Common,Chronomaly Moai Carrier,,Monster,EARTH,Rock / Effect,5,900 / 1800,,,,,,
Cybernetic Horizon,,Common,World Legacy's Memory,,Spell,,,,,,,,,,
Ghosts From the Past: The 2nd Haunting,,Ultra Rare,"Baxia, Brightness of the Yang Zing",,Monster,LIGHT,Wyrm / Synchro / Effect,8,2300 / 2600,,,,,,
Rising Rampage,,Rare,Fortune Vision,,Spell,,,,,,,,,,
Cyberdark Impact,,Super Rare,Cyber Shadow Gardna,,Trap,,,,,,,,,,
Circuit Break,,Ultra Rare,Arrivalrivals,,Spell,,,,,,,,,,
Labyrinth of Nightmare,,Super Rare,Fire Princess,,Monster,FIRE,Pyro / Effect,4,1300 / 1500,,,,,,
Legend of Blue Eyes White Dragon,,Common,Uraby,,Monster,EARTH,Dinosaur / Normal,4,1500 / 800,,,,,,
Maximum Gold,,Rare,"Hey, Trunade!",,Spell,,,,,,,,,,
Clash of Rebellions,,Common,Igknight Gallant,,Monster,FIRE,Warrior / Pendulum,6,2100 / 2200,,,,,,
Breakers of Shadow,,Common,Dragon Buster Destruction Sword,,Monster,DARK,Dragon / Tuner / Effect,1,400 / 300,,,,,,
Eternity Code,,Super Rare,Ancient Warriors - Ingenious Zhuge Kong,,Monster,WIND,Beast-Warrior / Effect,4,1000 / 2000,,,,,,
Elemental Energy,,Common,Dark Deal,,Trap,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Super Rare,Raigeki,,Spell,,,,,,,,,,
Tactical Evolution,,Rare,Summoner's Art,,Spell,,,,,,,,,,
Breakers of Shadow,,Common,Twilight Ninja Shingetsu,,Monster,DARK,Warrior / Effect,4,1500 / 100,,,,,,
Eternity Code,,Common,Noctovision Dragon,,Monster,DARK,Dragon / Effect,7,0 / 2800,,,,,,
Duelist Alliance,,Common,Shaddoll Squamata,,Monster,DARK,Spellcaster / Flip / Effect,4,1800 / 1000,,,,,,
Judgment of the Light,,Ultra Rare,Xyz Encore,,Spell,,,,,,,,,,
Rising Rampage,,Rare,Fortune Lady Past,,Monster,DARK,Spellcaster / Tuner / Effect,1,? / ?,,,,,,
Phantom Rage,,Super Rare,Dual Avatar Feet - Kokoku,,Monster,LIGHT,Warrior / Effect,3,800 / 2000,,,,,,
Ancient Prophecy,,Ultra Rare,Flamvell Commando,,Monster,FIRE,Pyro / Effect,6,2200 / 200,,,,,,
Lightning Overdrive,,Ultra Rare,Amaze Attraction Cyclo-Coaster,,Trap,,,,,,,,,,
Flames of Destruction,,Common,Kai-Den Kendo Spirit,,Monster,WIND,Warrior / Pendulum / Spirit / Effect,5,2400 / 1000,,,,,,
Rise of the Duelist,,Ultra Rare,Rikka Queen Strenna,,Monster,WATER,Plant / Xyz / Effect,,2000 / 2000,4,,,,,
Dawn of Majesty,,Super Rare,Despian Proskenion,,Monster,LIGHT,Fiend / Fusion / Effect,11,3200 / 3200,,,,,,
Legendary Duelists: Synchro Storm,,Super Rare,Speedroid Ultra Hound,,Monster,WIND,Machine / Effect,3,800 / 800,,,,,,
Soul of the Duelist,,Rare,Armed Dragon LV5,,Monster,WIND,Dragon / Effect,5,2400 / 1700,,,,,,
Rising Rampage,,Common,The Return to the Normal,,Trap,,,,,,,,,,
Lightning Overdrive,,Common,"Blackeyes, the Plunder Patroll Seaguide",,Monster,WATER,Fiend / Effect,4,1000 / 1000,,,,,,
Clash of Rebellions,,Super Rare,Brilliant Fusion,,Spell,,,,,,,,,,
Magician's Force,,Common,Frontline Base,,Spell,,,,,,,,,,
Dawn of Majesty,,Super Rare,Stall Turn,,Trap,,,,,,,,,,
Pharaonic Guardian,,Rare,Gravekeeper's Watcher,,Monster,DARK,Spellcaster / Effect,4,1000 / 1000,,,,,,
The Duelist Genesis,,Secret Rare,Toy Magician,,Monster,LIGHT,Spellcaster / Effect,4,1600 / 1500,,,,,,
Flames of Destruction,,Common,Staring Contest,,Spell,,,,,,,,,,
Soul Fusion,,Secret Rare,Thunder Dragon Titan,,Monster,LIGHT,Thunder / Fusion / Effect,10,3200 / 3200,,,,,,
Extreme Victory,,Rare,Necro Defender,,Monster,DARK,Fiend / Effect,2,0 / 800,,,,,,
Light of Destruction,,Common,D - Formation,,Spell,,,,,,,,,,
Flames of Destruction,,Rare,"World Legacy - ""World Lance""",,Monster,DARK,Machine / Effect,8,3000 / 0,,,,,,
Ignition Assault,,Common,Megalith Bethor,,Monster,EARTH,Rock / Ritual / Effect,8,1500 / 2600,,,,,,
Secrets of Eternity,,Secret Rare,Qliphort Monolith,,Monster,EARTH,Machine / Pendulum,5,2400 / 1000,,,,,,
Invasion of Chaos,,Common,Tower of Babel,,Trap,,,,,,,,,,
Crossroads of Chaos,,Super Rare,Rai-Mei,,Monster,LIGHT,Thunder / Effect,3,1400 / 1200,,,,,,
Abyss Rising,,Common,"Lemuria, the Forgotten City",,Spell,,,,,,,,,,
Cybernetic Horizon,,Common,Crusadia Leonis,,Monster,EARTH,Beast / Effect,3,1200 / 1600,,,,,,
Photon Shockwave,,Common,Space Cyclone,,Spell,,,,,,,,,,
Ancient Sanctuary,,Super Rare,The Sanctuary in the Sky,,Spell,,,,,,,,,,
Strike of Neos,,Common,Ritual Sealing,,Trap,,,,,,,,,,
Invasion of Chaos,,Short Print,Ojama Delta Hurricane!!,,Spell,,,,,,,,,,
Legend of Blue Eyes White Dragon,,Common,Petit Angel,,Monster,LIGHT,Fairy,3,600 / 900,,,,,,
Lord of the Tachyon Galaxy,,Super Rare,Noble Arms of Destiny,,Spell,,,,,,,,,,
Storm of Ragnarok,,Secret Rare,"Maxx ""C""",,Monster,EARTH,Insect / Effect,2,500 / 200,,,,,,
Pharaoh's Servant,,Ultra Rare,Chain Destruction,,Trap,,,,,,,,,,
Light of Destruction,,Ultra Rare,Maximum Six,,Monster,EARTH,Warrior / Effect,6,1900 / 1600,,,,,,
Maximum Crisis ,,Rare,Predaplant Ophrys Scorpio,,Monster,DARK,Plant / Effect,3,1200 / 800,,,,,,
Rise of the Duelist,,Common,Superheavy Samurai Scarecrow,,Monster,EARTH,Machine / Link / Effect,,,,,,,,
Dimension Force,,Ultra Rare,Dinomorphia Rexterm,,Monster,DARK,Dinosaur / Fusion / Effect,8,3000 / 0,,,,,,
Phantom Rage,,Common,Myutant GB-88,,Monster,WATER,Psychic / Effect,4,500 / 500,,,,,,
Soul Fusion,,Ultra Rare,Thunder Dragonroar,,Monster,DARK,Thunder / Effect,6,2400 / 0,,,,,,
Raging Tempest,,Common,Rank-Up-Magic Cipher Ascension,,Spell,,,,,,,,,,
Shadow of Infinity,,Common,Hero Heart,,Spell,,,,,,,,,,
Storm of Ragnarok,,Rare,Shien's Daredevil,,Monster,EARTH,Warrior / Effect,4,1600 / 1000,,,,,,
Invasion of Chaos,,Common,Zero Gravity,,Trap,,,,,,,,,,
